k,inercia,silhouette
2,108.93553096472237,0.5658401516927352
3,74.4418300937,0.40365406267448073
4,54.004140867230824,0.4026954476700639
5,35.70477896675235,0.38789113491302435
6,25.37394954627004,0.37111624219604694
7,16.85305165855515,0.3793631954617484
